LGA_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
LGA70200,137,332,10,477,2821,455,21,3763,39,263,5,304,1918,337,7,2573,6,43,0,48,619,91,8,763,0,0,0,4,149,32,0,180,4222,1392,227,5847,14914,2502,102,23363
LGA70420,24,112,17,153,677,117,5,955,12,50,7,71,603,105,0,781,4,3,0,8,154,20,0,183,0,4,0,3,15,3,0,20,989,739,181,1909,3358,740,25,6027
LGA70540,4,3,0,5,16,0,0,25,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,0,26,81,21,0,127
LGA70620,24,85,3,113,289,79,0,481,10,51,0,63,147,35,5,252,0,10,0,12,46,10,0,70,0,5,0,5,10,0,0,16,656,573,113,1346,1632,663,24,3662
LGA70700,5,27,0,38,336,122,0,493,4,20,0,27,354,108,0,483,0,0,0,4,79,24,0,107,0,0,0,0,9,0,0,9,159,80,7,252,1164,466,3,1886
LGA71000,487,1030,10,1532,7616,1218,96,10464,121,1143,11,1272,5656,859,50,7846,10,233,0,250,2348,323,15,2936,0,12,0,14,500,94,3,613,12843,4311,576,17732,47109,8016,1072,73936
LGA71150,0,5,0,11,94,32,0,134,0,18,0,18,55,27,4,96,0,0,0,0,18,3,0,28,0,0,0,0,0,0,4,4,57,32,0,92,397,124,9,613
LGA71300,48,231,61,341,359,160,0,858,9,105,18,139,163,42,5,345,0,22,9,31,41,8,0,75,0,3,0,5,8,0,0,12,1213,1994,700,3914,2672,991,17,7597
LGA72200,43,119,0,166,1165,289,11,1625,11,113,0,124,895,174,4,1196,0,11,0,12,260,57,0,332,0,0,0,0,41,9,0,50,1416,547,98,2065,5783,1627,59,9531
LGA72300,92,376,6,469,2753,581,30,3837,35,306,0,343,2135,468,11,2952,4,40,0,45,677,130,0,856,0,8,0,7,90,27,0,122,3486,1168,152,4805,12982,4486,1383,23661
LGA72330,8,125,8,142,533,118,4,792,4,63,4,68,412,83,4,565,4,12,0,21,77,26,0,118,0,0,0,3,6,0,0,14,748,913,221,1878,2565,1183,27,5650
LGA72800,157,434,10,598,2277,275,27,3179,26,287,5,322,1327,149,19,1813,3,36,0,40,488,65,0,589,0,0,0,5,150,14,0,166,6893,1713,362,8972,16030,2533,83,27624
LGA73600,24,160,18,210,875,255,13,1345,8,65,5,82,904,193,3,1180,0,6,0,6,167,35,0,209,0,0,0,0,11,0,0,12,1078,1229,348,2656,4026,1550,103,8337
LGA74050,11,30,0,35,175,27,0,240,5,0,0,7,78,12,0,98,0,0,0,7,12,6,0,15,0,0,0,0,0,0,0,0,344,165,17,527,1164,172,5,1872
LGA74550,12,60,8,70,347,59,0,476,0,43,3,45,344,65,0,450,0,5,0,5,70,17,0,88,0,0,0,0,13,0,0,14,423,336,151,908,1749,382,94,3136
LGA74560,3,14,0,14,77,3,0,97,0,4,0,11,72,5,0,87,0,5,0,5,18,4,0,27,0,0,0,0,3,0,0,3,53,25,0,77,244,31,0,356
LGA74660,28,162,23,216,560,181,0,954,14,75,5,92,299,139,0,534,3,10,0,16,67,24,0,102,0,0,0,3,4,0,0,4,894,1352,574,2828,2742,890,45,6498
LGA74680,27,51,4,81,105,15,0,198,11,22,0,31,35,4,0,67,0,4,0,4,18,0,0,19,0,4,0,4,0,0,0,7,549,517,41,1103,899,174,3,2176
LGA79399,35,76,0,115,884,278,9,1291,5,62,0,70,649,176,5,906,0,11,0,10,103,49,0,165,0,0,0,0,11,5,0,15,1148,276,69,1490,4054,1718,50,7309
LGA79799,4,0,0,4,69,34,0,106,0,0,0,0,27,11,0,40,0,0,0,0,5,3,0,10,0,0,0,0,0,0,0,0,29,9,0,37,285,151,17,494
LGA89399,2642,5759,109,8509,34790,1454,179,44930,421,8245,50,8716,24868,1290,152,35030,88,2035,15,2139,15866,1028,49,19085,9,105,0,110,6337,753,7,7204,77645,24330,3050,105023,247937,16736,1020,370716
LGA89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA99399,24,53,0,70,343,63,0,486,5,33,0,44,284,53,0,372,0,14,0,14,151,40,0,208,0,0,0,0,46,7,0,49,301,171,29,500,1496,331,18,2342
LGA99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
