LGA_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
LGA34880,12,6,104,64,22,161,11,127,16,526,46,39,114,74,51,65,32,172,18,604,191,225,236,187,157,79,86,418,32,1610,259,295,239,210,189,93,118,215,45,1665,361,330,282,316,264,117,144,248,43,2115,333,289,224,221,232,136,172,223,48,1890,140,100,72,41,63,35,49,95,22,617,56,9,4,6,4,8,10,10,9,117,0,0,0,0,0,0,0,0,3,9,1404,1294,1278,1127,988,698,621,1503,235,9151
LGA35010,208,201,1756,2558,619,4943,667,3400,249,14602,909,1881,3720,3795,2199,2839,1229,2709,371,19650,4074,8316,7871,5927,5827,3136,2981,4587,913,43621,6775,11092,7071,5879,7145,2754,3169,3811,890,48585,7388,9960,6317,5896,7938,3036,3484,4058,826,48908,4275,5871,4105,4148,5641,2478,2940,3326,521,33295,995,1428,865,784,1326,594,756,832,144,7720,143,112,58,49,106,64,61,95,45,731,10,10,0,0,5,0,6,5,19,56,24769,38867,31755,29030,30809,19859,15288,22819,3973,217162
LGA35250,0,0,0,0,0,0,0,4,0,6,0,0,0,5,3,0,0,0,0,14,3,19,4,13,0,0,0,4,0,56,4,22,5,10,3,0,4,13,0,61,6,5,4,12,6,0,0,11,0,47,13,9,4,7,6,0,3,9,0,52,4,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,26,56,23,53,22,8,8,36,4,237
LGA35300,5,3,104,75,45,168,37,160,18,629,18,177,247,121,85,85,114,132,18,997,141,615,568,277,244,100,391,170,59,2574,240,413,440,195,240,89,313,138,49,2120,220,249,369,176,222,85,332,133,38,1816,146,215,287,109,195,63,256,142,24,1445,43,35,52,28,39,18,67,48,9,341,11,3,10,4,8,0,9,0,0,49,0,0,0,0,0,0,0,0,0,6,831,1718,2071,984,1078,620,1519,927,216,9968
LGA35600,0,0,18,13,3,21,3,17,5,84,5,28,30,28,10,10,3,26,6,150,41,81,41,55,37,16,19,100,17,404,57,63,42,41,36,14,15,51,11,319,93,63,45,51,37,19,30,50,4,394,103,60,39,56,65,30,46,54,15,465,44,23,13,10,18,3,6,20,9,153,9,0,0,0,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,361,323,221,245,202,114,118,326,64,1985
LGA35670,0,3,0,0,0,0,0,0,4,9,0,0,0,3,0,4,0,0,3,11,0,4,0,4,3,3,9,0,0,20,5,3,0,9,0,0,7,0,12,37,5,4,3,0,5,0,6,4,6,29,4,3,4,4,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,18,13,20,7,8,24,14,25,127
LGA35740,32,40,199,400,53,550,34,386,22,1706,68,117,328,340,96,221,65,203,29,1477,358,640,692,509,262,200,110,326,66,3166,907,1255,709,536,509,305,150,341,101,4814,1130,1596,806,739,709,490,219,480,135,6316,917,1126,626,579,711,487,203,498,88,5239,408,436,161,128,254,204,83,134,43,1847,85,64,10,11,40,31,11,18,17,296,3,0,0,0,3,0,0,0,0,11,3905,5275,3540,3232,2641,2496,882,2385,511,24868
LGA35760,5,0,40,30,6,61,12,74,3,227,15,23,46,40,17,31,12,109,9,308,97,79,81,44,43,33,48,251,21,701,176,75,72,62,83,32,73,133,8,708,224,93,74,97,91,39,82,181,24,905,267,75,66,105,87,35,95,206,23,946,154,33,32,32,27,18,27,78,20,423,82,3,3,0,6,8,5,16,13,131,9,0,0,0,0,0,0,4,3,17,1029,387,421,401,361,251,357,1051,124,4372
LGA35780,0,5,0,7,4,15,0,10,7,44,3,13,14,23,24,7,5,19,7,115,21,49,20,54,33,10,15,24,9,238,24,36,34,42,22,9,12,20,6,205,30,39,27,35,21,11,10,16,3,203,25,38,27,21,17,6,11,14,5,166,12,9,0,6,0,0,5,3,0,39,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,111,183,130,186,125,65,69,109,38,1016
LGA35790,0,0,0,5,0,0,0,0,0,14,0,5,3,14,4,0,0,0,0,28,0,21,9,37,10,0,3,8,5,89,5,12,3,28,12,4,4,8,0,81,4,11,6,19,4,0,3,5,7,72,7,19,7,21,5,0,0,0,5,65,0,5,0,4,4,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,72,32,132,43,13,14,25,20,362
LGA35800,0,0,3,3,0,0,3,7,0,16,5,7,7,7,4,4,4,12,0,47,26,36,27,15,17,0,5,12,8,144,31,24,13,13,4,3,8,10,0,104,43,14,9,22,15,12,15,19,5,141,55,23,15,15,16,3,20,25,0,166,32,11,12,4,8,5,4,10,0,75,9,0,0,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,188,103,78,80,59,35,61,94,23,719
LGA36070,0,0,0,4,0,0,0,0,0,4,0,0,3,20,0,0,3,0,0,27,4,10,22,9,4,0,4,0,0,66,4,8,6,20,0,0,7,10,0,58,0,7,3,8,4,0,0,10,3,45,5,3,0,3,3,0,0,5,0,25,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,33,39,64,11,4,24,24,9,233
LGA36150,0,0,4,8,0,0,0,8,0,12,0,0,4,4,3,4,0,10,0,35,14,10,10,5,17,0,11,11,0,86,18,3,17,8,9,0,7,3,0,69,30,6,9,4,9,11,4,21,0,90,35,11,18,7,10,0,17,12,6,112,18,3,4,0,3,0,8,0,0,31,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,119,39,58,30,47,15,41,72,10,438
LGA36250,87,81,725,1022,221,1724,276,1123,75,5335,241,719,1356,1167,747,916,356,753,108,6369,1350,2753,2661,1517,1816,881,716,1048,233,12968,2569,3646,2511,1638,2560,865,946,1119,296,16150,3173,3607,2327,1825,2966,1144,1046,1293,284,17662,2098,2549,1795,1486,2619,1054,1026,1200,172,13990,472,670,418,287,600,310,310,362,50,3476,68,73,33,17,52,39,14,38,22,341,9,5,4,0,0,0,0,0,9,21,10064,14090,11821,8953,11581,6931,4694,6940,1247,76324
LGA36300,0,0,3,3,0,0,0,7,0,13,3,6,3,0,3,0,5,17,3,41,19,8,13,7,5,3,8,19,0,88,24,8,3,4,11,7,8,13,3,76,23,9,6,4,4,0,5,14,6,67,31,7,7,10,6,3,19,18,0,91,12,3,0,0,0,0,8,3,0,30,3,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,118,37,36,19,30,17,48,89,15,418
LGA36370,40,31,354,449,123,938,86,615,54,2683,115,421,714,780,349,497,237,481,59,3657,562,1635,1524,1206,1034,547,668,828,143,8150,751,1640,1207,987,980,419,676,851,165,7672,853,1267,902,937,1006,428,720,798,135,7040,646,932,752,796,848,380,690,728,108,5882,222,230,180,152,191,97,166,182,27,1445,51,22,6,6,13,8,11,21,8,145,6,0,0,0,0,0,0,0,4,20,3250,6161,5638,5308,4557,3309,3258,4510,708,36706
LGA36510,27,24,190,290,48,307,34,357,26,1297,56,133,297,214,97,145,68,210,27,1237,301,483,539,359,295,152,203,387,62,2778,582,697,645,431,435,189,277,315,69,3646,766,785,668,510,647,245,343,473,96,4523,680,654,520,428,497,228,335,472,81,3884,365,201,145,85,148,88,93,121,32,1283,121,26,14,9,19,15,9,26,19,245,15,0,0,0,4,0,0,0,12,32,2907,3006,3012,2312,2188,1365,1364,2360,414,18924
LGA36580,14,7,78,95,21,196,28,171,27,630,27,38,145,95,47,83,45,188,19,689,139,198,363,218,187,112,129,340,32,1722,259,270,338,242,237,108,193,384,51,2087,379,295,315,315,323,122,228,328,59,2366,321,250,246,260,257,118,227,255,55,1993,166,66,72,48,74,39,70,59,15,609,49,9,9,0,3,9,13,4,5,100,5,0,0,0,0,0,0,0,0,8,1369,1141,1561,1276,1150,783,932,1718,260,10195
LGA36630,12,7,129,96,41,310,28,249,21,884,44,109,199,149,96,96,39,251,23,1006,209,346,382,283,176,159,138,431,35,2164,315,389,254,292,228,136,173,318,46,2144,458,342,319,370,269,163,247,348,46,2567,409,310,287,312,261,148,230,389,45,2392,289,112,70,63,66,42,80,90,21,842,99,11,8,5,17,0,13,16,21,185,10,0,0,0,0,0,0,6,6,27,1843,1628,1645,1569,1149,1065,950,2097,259,12203
LGA36660,28,10,186,199,38,330,33,275,33,1126,56,100,218,142,85,163,78,243,20,1108,264,361,396,293,240,182,205,504,45,2478,400,418,350,318,302,165,207,405,47,2615,558,482,287,409,410,234,278,467,53,3180,547,450,291,387,383,180,354,464,58,3109,338,168,95,92,111,69,103,146,35,1164,117,17,8,4,13,13,14,18,12,221,14,0,0,0,0,0,0,0,0,24,2322,2003,1830,1845,1576,1324,1282,2525,301,15018
LGA36720,174,183,1446,2372,408,3534,377,2570,167,11234,620,1357,2579,2854,1281,2033,565,1800,247,13328,2894,7197,5541,4197,3159,2256,1297,2607,547,29700,4955,8948,5390,3868,4070,1958,1386,2478,597,33655,5693,8589,4766,4338,5069,2539,1698,2754,575,36029,3912,5762,3359,3297,4312,2218,1663,2544,403,27482,1230,1561,720,596,1115,700,510,798,141,7369,220,166,45,33,99,86,39,82,62,833,12,11,3,0,5,0,4,7,20,62,19702,33777,23858,21557,19520,15328,7539,15636,2769,159690
LGA36820,18,4,129,117,28,216,16,202,18,756,44,62,148,88,38,62,40,136,16,632,183,299,281,215,162,114,95,294,40,1674,283,384,264,251,226,103,131,224,35,1905,434,433,262,341,307,152,171,287,51,2435,382,383,282,332,307,171,217,281,54,2408,244,161,90,78,83,53,81,101,28,931,69,16,6,3,11,5,6,20,8,164,3,0,0,0,0,0,0,0,0,8,1668,1743,1458,1427,1165,877,758,1547,250,10906
LGA36910,95,90,856,1003,288,1768,166,1263,112,5651,326,921,1592,1604,810,938,335,1075,152,7755,1428,3890,2918,2313,1930,1109,910,1850,254,16601,2110,3889,2206,1976,1981,857,974,1558,263,15822,2389,3488,1879,1940,2341,974,1101,1550,219,15885,1971,2528,1414,1462,1952,734,1137,1395,189,12793,843,712,380,303,487,255,294,400,70,3736,264,84,37,29,69,38,29,66,45,657,36,7,0,0,0,8,0,5,14,77,9474,15612,11281,10632,9859,6692,4950,9161,1319,78977
LGA36950,0,0,7,9,3,20,0,17,7,70,4,30,18,29,26,20,0,24,6,151,28,117,46,71,62,10,13,40,8,406,63,82,57,62,64,10,8,29,6,386,47,77,41,51,61,9,14,32,12,345,45,80,34,34,33,6,25,26,11,286,14,16,7,11,8,3,11,5,0,75,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,202,403,210,269,255,83,68,173,49,1719
LGA36960,0,0,0,5,0,7,0,7,0,16,0,6,5,19,5,11,0,10,4,77,24,64,29,51,40,27,7,29,0,261,27,49,23,49,24,26,7,42,3,247,34,58,18,30,33,10,10,36,3,228,25,45,11,19,12,6,4,30,4,155,8,8,0,6,0,0,0,10,4,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,232,88,177,123,83,28,152,24,1027
LGA37010,96,127,774,1374,280,2261,191,1349,131,6578,426,1351,1745,2752,992,1381,602,1014,175,10428,1698,5028,3586,3666,2205,1271,1300,1561,397,20718,2498,4640,2791,2550,2552,968,1331,1357,309,18991,2592,4019,2360,2507,2745,1047,1473,1486,308,18531,1792,2625,1719,1815,2281,893,1406,1478,233,14246,452,715,410,370,530,273,381,446,62,3646,63,66,35,30,44,23,25,55,21,359,5,0,0,0,3,0,0,3,0,18,9619,18583,13425,15063,11616,8114,6709,8759,1629,93514
LGA37300,0,0,26,26,5,32,6,24,3,126,3,25,62,31,15,9,52,20,8,223,31,140,178,64,53,14,131,36,12,658,66,90,109,49,50,16,97,27,8,520,54,85,118,26,57,20,127,29,21,528,30,45,76,30,27,6,65,30,9,317,9,8,11,7,8,4,9,15,4,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,389,580,226,214,101,484,171,75,2440
LGA37310,17,20,201,140,42,293,38,274,15,1036,76,166,266,156,112,124,102,294,25,1322,387,502,685,232,321,188,310,566,52,3249,582,465,553,276,366,147,315,364,58,3126,719,389,515,311,405,202,403,354,48,3350,635,269,348,250,303,150,340,351,43,2684,397,68,87,41,93,46,108,121,25,981,168,3,6,4,12,13,12,22,12,249,14,0,0,0,3,0,0,3,6,23,2986,1881,2664,1417,1667,1168,1627,2345,285,16030
LGA37340,10,10,187,195,30,343,34,270,28,1116,85,142,353,358,118,129,110,312,38,1637,417,579,825,616,357,264,353,802,72,4282,550,606,705,416,435,230,424,436,78,3881,625,504,568,387,407,291,533,485,68,3873,596,406,454,305,391,278,449,473,61,3412,224,163,111,60,123,77,148,138,18,1065,58,17,7,8,14,9,7,9,14,142,5,0,0,0,4,0,0,3,0,13,2573,2419,3207,2344,1883,1616,2060,2931,375,19415
LGA37400,0,0,0,0,0,0,0,7,0,21,0,3,0,12,3,8,3,14,0,43,29,10,16,9,8,7,6,21,0,112,27,8,16,8,9,8,9,10,0,101,42,19,15,11,22,8,20,14,4,164,53,18,23,13,23,8,15,19,7,176,22,10,7,7,3,4,5,10,5,68,3,0,0,0,0,0,4,5,0,9,0,0,0,0,0,0,0,0,0,0,182,70,83,62,76,48,55,96,18,692
LGA37550,0,0,0,6,0,0,0,0,0,10,0,5,0,6,3,0,0,5,0,19,6,14,3,14,3,0,5,12,3,63,0,0,0,13,7,0,0,0,0,28,4,6,0,14,0,0,0,7,0,42,0,10,0,3,3,0,0,7,0,21,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,45,13,55,27,0,14,31,4,200
LGA37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,4,0,0,0,0,0,0,0,14,0,0,0,4,0,0,0,0,0,12,0,4,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,8,4,0,5,6,7,42
LGA37600,0,0,0,0,0,0,0,0,0,7,3,6,0,16,9,0,0,4,0,37,3,15,15,38,21,3,0,8,5,112,9,8,9,27,9,0,5,14,0,85,13,16,5,35,7,3,0,8,0,86,5,16,3,14,3,0,0,10,4,63,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,77,41,128,53,9,9,50,12,394
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,3,10,0,19,0,12,0,0,0,0,3,12,0,27,0,9,0,0,0,0,9,12,0,27,0,6,0,4,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,9,3,3,0,21,37,0,99
LGA40070,3,35,19,202,31,119,16,90,0,521,93,455,161,581,233,280,39,195,34,2065,405,1912,432,534,471,249,83,241,69,4394,443,1065,230,207,285,79,48,107,34,2494,425,641,127,147,232,59,43,70,25,1761,346,545,129,122,203,85,33,52,23,1533,161,289,26,30,87,47,9,16,13,684,26,49,5,4,21,9,0,5,10,128,0,4,0,0,0,0,0,0,0,7,1905,4993,1123,1824,1567,932,271,772,207,13592
LGA40120,21,17,138,315,49,370,29,317,15,1262,83,198,266,365,105,217,64,205,28,1539,324,968,496,319,282,130,70,200,45,2835,853,1463,520,328,458,152,95,161,52,4083,1154,1682,533,422,650,251,149,251,58,5146,816,1221,496,343,561,215,187,280,52,4160,313,427,137,83,182,61,50,90,27,1379,68,57,3,10,16,12,7,14,16,208,6,0,0,0,0,0,0,0,6,13,3649,6031,2589,2186,2303,1406,643,1513,299,20627
LGA40150,3,5,53,27,11,85,4,80,6,268,15,25,103,52,39,52,17,65,7,380,99,115,199,99,118,55,87,145,25,935,148,97,152,79,133,49,105,126,24,906,166,102,180,133,174,58,132,123,32,1090,130,77,124,87,113,57,158,128,16,892,64,19,23,7,25,14,28,18,0,210,16,5,4,0,0,0,0,3,3,37,3,0,0,0,0,0,0,0,0,8,649,444,839,475,604,366,536,692,114,4723
LGA40220,12,10,72,140,15,173,15,240,13,672,37,51,160,158,47,126,41,143,12,782,160,269,344,246,150,117,102,210,26,1626,304,375,350,246,260,126,134,191,47,2034,452,465,371,339,306,193,167,286,44,2614,423,416,323,366,321,171,169,288,29,2492,240,163,95,88,120,55,47,87,17,908,62,23,11,0,20,7,6,12,21,155,5,0,0,0,0,0,0,0,0,7,1694,1772,1732,1577,1227,968,677,1449,203,11301
LGA40250,0,4,0,7,0,0,0,5,0,20,0,21,0,24,3,0,0,0,0,55,20,69,8,39,8,3,3,12,6,167,15,32,7,19,3,5,0,12,3,100,12,50,3,27,9,4,0,11,5,122,23,39,5,31,11,3,0,3,0,110,7,13,0,3,0,0,0,8,0,29,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,78,236,25,143,39,17,4,49,18,603
LGA40310,8,11,104,161,12,194,19,265,17,790,33,70,208,140,62,101,56,186,15,866,213,350,392,199,181,109,107,301,26,1871,452,542,375,241,279,156,134,295,31,2503,528,511,349,294,385,179,194,337,45,2819,430,370,283,273,327,154,199,343,40,2418,194,126,79,52,70,37,46,94,7,704,48,13,5,5,5,7,8,14,15,119,0,0,0,0,0,0,0,0,0,4,1905,1980,1796,1355,1322,928,756,1836,196,12081
LGA40430,0,0,6,7,0,6,0,17,0,42,9,11,7,5,3,3,4,10,0,54,30,28,16,10,4,4,5,17,4,127,47,23,18,10,16,4,4,14,0,138,51,27,24,38,36,5,12,11,5,210,78,31,17,24,28,7,19,34,4,243,32,13,10,8,10,0,0,10,0,80,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,253,136,93,103,93,42,50,122,17,905
LGA40520,0,0,53,53,5,59,8,65,0,251,13,33,81,80,21,49,27,103,10,411,68,197,136,106,56,68,54,156,20,851,98,137,115,109,97,60,49,152,16,832,140,144,110,137,111,62,77,162,17,953,170,124,96,124,115,64,76,153,24,947,73,43,34,23,32,9,27,47,13,299,33,4,0,0,5,0,0,5,0,49,6,0,0,0,0,0,0,0,0,5,593,670,622,628,447,372,316,849,100,4614
LGA40700,14,54,62,332,82,408,28,214,14,1207,77,446,184,404,252,321,50,163,17,1928,354,1491,293,369,360,190,66,189,60,3372,912,2146,313,328,549,152,68,142,68,4683,1194,2178,281,292,644,249,70,131,76,5122,839,1672,247,204,529,224,65,114,48,3945,289,662,86,72,267,95,27,49,15,1566,69,118,9,8,32,31,5,3,12,293,15,11,0,0,3,0,0,0,4,27,3763,8780,1477,2010,2724,1666,386,1009,326,22147
LGA40910,15,31,99,259,50,574,36,272,20,1351,95,466,365,537,277,471,103,311,43,2662,546,2041,815,744,723,382,257,432,85,6020,923,2151,649,634,797,287,219,349,98,6106,902,1501,662,559,979,338,220,397,78,5637,554,934,501,410,874,325,217,291,53,4162,115,268,132,95,184,99,57,107,10,1077,24,27,19,12,15,20,0,13,8,134,0,0,0,0,0,0,0,0,3,9,3179,7426,3246,3238,3907,2491,1104,2187,383,27156
LGA41010,5,5,8,13,4,25,4,9,4,79,14,11,18,33,12,8,9,22,3,126,44,74,55,50,35,23,17,45,9,342,54,53,30,58,25,11,16,35,3,289,78,66,34,47,47,16,31,48,9,368,78,52,23,42,38,17,31,43,5,314,32,13,5,4,8,9,12,29,4,123,11,0,0,0,0,0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,312,272,170,251,174,101,116,233,35,1662
LGA41060,32,58,254,574,122,1104,65,621,44,2886,234,960,865,1196,679,963,262,640,93,5905,1468,4723,2110,1927,1788,918,723,982,243,14885,2073,3754,1534,1400,1755,634,585,767,233,12734,2160,2663,1421,1178,2046,796,704,963,200,12140,1408,1888,1110,970,1829,683,684,838,124,9534,344,497,288,174,439,179,125,203,62,2321,64,65,31,13,37,21,11,30,16,288,0,0,0,0,0,3,0,0,7,27,7780,14619,7616,7435,8696,5303,3175,5054,1031,60711
LGA41140,0,0,30,58,5,51,5,69,5,232,23,28,59,44,18,28,15,63,4,279,105,113,145,77,49,56,39,82,8,675,180,168,103,74,81,50,45,86,9,792,196,182,118,94,99,58,68,118,10,947,222,143,112,103,112,65,72,132,13,960,133,60,31,21,45,14,11,41,10,368,51,3,6,0,6,0,3,13,4,89,8,0,0,0,0,0,0,0,0,8,908,689,591,480,414,324,265,603,72,4349
LGA41190,0,0,12,0,0,12,4,13,0,39,0,8,17,7,4,4,6,10,0,53,30,17,23,15,21,12,6,11,4,145,48,19,25,10,14,13,0,8,5,144,68,17,12,18,18,11,14,10,7,174,76,18,17,19,16,11,11,27,5,192,32,5,10,5,3,0,0,14,3,67,4,0,0,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,266,83,110,78,73,59,48,99,15,835
LGA41330,0,0,0,3,0,3,0,0,0,19,4,9,10,6,6,4,0,4,0,34,7,37,18,35,20,12,9,10,0,150,17,21,13,24,16,12,12,15,0,122,25,12,16,14,14,9,10,9,0,113,20,27,20,16,16,18,21,17,3,159,14,12,4,4,8,6,11,3,0,62,4,0,0,0,0,3,0,0,6,17,0,0,0,0,0,0,0,0,0,0,87,115,83,112,70,61,64,63,20,678
LGA41560,8,3,44,63,5,108,8,98,9,333,23,46,85,83,29,45,26,56,3,400,82,176,171,122,65,82,70,103,13,884,109,161,149,152,112,71,59,113,11,938,160,153,154,189,156,118,82,141,11,1170,173,164,149,189,142,108,95,152,22,1193,92,35,49,43,50,8,29,40,18,363,18,0,6,0,0,3,3,3,14,46,3,0,0,0,0,0,0,0,6,8,669,739,802,841,564,543,371,704,112,5337
LGA41750,3,0,0,0,0,0,0,3,0,18,5,0,0,0,5,0,0,10,0,29,29,16,6,0,11,6,0,12,0,82,31,16,4,9,18,4,4,17,5,98,28,6,11,8,7,0,0,24,0,82,55,11,3,11,15,0,9,20,3,133,25,0,0,0,6,0,0,6,0,39,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,183,51,29,29,53,13,21,89,7,481
LGA41830,0,0,3,10,0,3,0,16,0,36,0,4,7,10,4,0,6,8,0,45,12,31,26,19,10,3,11,12,0,124,23,22,16,9,18,6,10,8,0,113,25,23,14,28,13,9,14,22,3,152,46,22,15,34,19,14,12,18,8,195,31,7,5,10,11,5,15,3,8,94,4,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,137,112,92,126,80,41,69,90,17,765
LGA41960,5,0,3,5,0,7,0,0,0,28,3,5,9,5,0,0,4,0,0,35,22,19,20,19,7,6,8,8,3,109,26,4,15,13,6,5,13,18,0,102,27,14,18,11,8,3,15,15,5,123,34,15,8,12,9,12,21,21,4,131,18,3,4,0,3,4,5,0,6,45,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,139,58,89,65,44,33,70,60,16,571
LGA42030,8,6,73,93,27,240,22,173,8,653,39,101,215,223,117,155,47,163,25,1086,203,431,453,312,298,172,179,261,46,2354,282,429,356,287,308,150,178,207,32,2223,305,400,321,303,373,149,207,194,29,2287,252,325,260,289,305,150,220,209,41,2050,63,81,45,56,69,31,47,44,15,449,12,12,6,0,0,0,4,6,5,42,5,0,0,0,0,0,0,0,0,4,1167,1787,1734,1573,1499,1050,900,1256,189,11151
LGA42110,0,0,18,7,4,20,0,25,0,82,4,9,25,10,7,10,6,20,3,90,55,29,40,26,15,18,22,43,0,243,69,31,28,15,31,18,32,37,4,267,111,34,46,35,42,20,24,51,0,364,116,38,47,47,36,21,41,73,7,418,74,13,11,6,17,12,15,18,4,161,18,0,4,0,0,0,6,3,0,28,3,0,0,0,0,0,0,0,0,8,449,151,223,148,150,116,141,264,24,1672
LGA42250,5,3,61,45,17,85,10,90,8,319,18,20,74,40,29,31,26,45,9,280,66,79,115,70,50,32,40,70,3,531,135,113,128,74,99,52,56,82,3,753,176,157,146,94,123,52,99,110,17,962,198,97,114,54,102,53,84,108,13,829,122,32,24,16,30,17,23,33,8,303,45,8,4,0,0,0,0,12,4,70,14,0,0,0,0,0,0,0,0,11,781,504,663,389,450,317,344,554,66,4056
LGA42600,5,27,88,253,44,365,34,235,12,1070,73,253,216,382,144,242,57,139,21,1535,320,1174,454,500,350,179,119,202,38,3344,768,1320,379,366,439,164,80,130,52,3694,882,1130,367,428,584,238,117,135,65,3950,673,1012,308,352,658,226,103,136,52,3512,212,328,102,94,211,85,34,70,27,1174,32,37,9,4,27,15,0,18,14,157,0,0,0,0,0,3,0,0,4,15,2959,5287,1928,2383,2465,1525,546,1071,284,18455
