LGA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
LGA18450,85639,90186,175826,32982,20067,53048,11918,21050,32978,5050,6370,11419,2833,2189,5021,52790,49680,102470,28895,36210,65102,5.4,4.4,4.9,61.6,55.1,58.3,58.3,52.7,55.4,5590,5894,11482,1329,2698,4027,11915,15669,27582,6911,9416,16330,22111,11200,33309,771,1510,2272,1357,2629,3981,24239,15337,39571,85131,87709,172848,13929,14554,28481,58507,60543,119040,35250,36702,71950
LGA18500,20315,23786,44095,9836,7856,17688,3030,4516,7542,869,1296,2168,447,493,945,14187,14159,28346,5170,8372,13541,3.2,3.5,3.3,69.8,59.5,64.3,67.6,57.5,62.1,3494,3423,6922,528,839,1364,7421,8684,16108,1401,2321,3723,1249,733,1987,67,126,196,257,472,727,1575,1331,2906,18353,20680,39040,4444,5344,9785,11151,12831,23986,10695,12228,22923
LGA18710,6837,7060,13898,3437,2258,5692,902,1838,2741,218,323,539,141,118,255,4690,4542,9233,1678,2174,3861,3,2.6,2.8,68.6,64.3,66.4,66.6,62.7,64.6,445,483,929,174,321,492,914,1407,2321,607,789,1393,1646,814,2460,53,107,164,90,199,291,1785,1126,2913,7008,7223,14237,937,990,1919,4775,4883,9659,2777,2955,5733
LGA19399,529,488,1023,245,162,407,66,106,170,25,26,53,12,6,19,352,300,649,127,144,274,3.7,2,2.9,66.5,60.6,63.7,64.1,59.3,61.8,15,23,41,5,9,11,39,80,116,30,61,84,143,66,206,7,8,14,10,18,24,157,88,247,502,456,959,74,70,144,384,342,729,162,167,327
LGA19799,31,4,32,26,0,27,0,0,0,0,0,0,0,0,0,33,3,35,0,0,0,0,0,0,96.9,66.7,94.3,96.9,66.7,94.3,0,0,0,0,0,0,0,0,4,0,0,0,7,0,7,0,0,0,0,0,0,11,0,11,29,3,33,6,0,6,20,0,19,12,3,17
LGA20110,5599,5831,11432,2059,1209,3262,952,1695,2649,334,324,654,80,53,133,3432,3278,6709,1759,2140,3901,2.4,1.6,2,61.3,56.2,58.7,59.8,55.3,57.5,201,268,468,124,247,367,681,1005,1683,468,676,1151,1509,696,2202,58,91,153,83,120,205,1651,913,2562,5314,5412,10724,831,878,1715,3642,3684,7323,2240,2371,4608
LGA20260,5321,4709,10028,1809,1071,2880,573,1154,1728,179,209,387,98,78,173,2660,2510,5169,2342,1902,4245,3.6,3.1,3.4,50,53.3,51.6,48.2,51.6,49.8,83,112,194,47,143,183,333,583,914,320,559,885,1165,624,1787,49,81,127,43,77,126,1256,777,2038,4468,4452,8918,615,698,1312,3081,3011,6091,1730,1890,3624
LGA20570,43439,48365,91801,18820,10890,29714,6252,13470,19722,1442,2101,3539,1452,1200,2649,27964,27667,55624,13118,18152,31268,5.2,4.3,4.8,64.4,57.2,60.6,61,54.7,57.7,2105,2528,4636,980,1989,2972,5578,8070,13645,3403,4956,8361,10518,6361,16871,456,720,1173,490,752,1236,11454,7827,19288,42244,45854,88100,8640,9266,17902,26064,28275,54344,22003,24044,46048
LGA20660,49806,53708,103513,23535,14472,38009,7155,14671,21829,1596,2368,3956,1582,1282,2864,33869,32794,66662,14126,19104,33228,4.7,3.9,4.3,68,61.1,64.4,64.8,58.7,61.6,4996,5346,10344,1464,2945,4413,10890,13383,24280,4672,5554,10229,8716,3968,12678,304,465,773,635,1038,1674,9656,5471,15125,51330,54307,105640,7131,7586,14719,35553,37995,73545,19917,21087,41003
LGA20740,16402,17749,34147,5231,2907,8138,2424,4474,6894,720,864,1588,394,268,665,8772,8518,17289,6468,7994,14460,4.5,3.2,3.8,53.5,48,50.6,51.1,46.5,48.7,513,650,1160,322,672,991,1629,2540,4165,1344,2068,3412,4644,2152,6793,136,308,450,240,323,566,5021,2782,7811,15145,15949,31097,2858,3140,5997,9190,9633,18824,7984,8648,16634
LGA20830,21920,23804,45725,9800,5128,14930,2843,6669,9506,820,1133,1954,555,501,1056,14019,13429,27447,6682,9117,15803,3.9,3.8,3.9,63.9,56.4,60,61.4,54.3,57.7,564,814,1380,344,805,1149,1925,3323,5248,1639,2782,4425,6737,3584,10326,181,409,588,318,455,771,7234,4450,11686,21957,23058,45017,3640,4054,7692,13524,14107,27633,10621,11603,22226
LGA20910,38631,43456,82086,18086,11364,29452,6065,11545,17617,1139,1773,2911,1102,943,2054,26396,25634,52024,11046,16320,27369,4.2,3.7,3.9,68.3,59,63.4,65.5,56.8,60.9,4557,4415,8965,1268,2246,3513,11222,12528,23755,3618,5025,8635,4169,2043,6207,153,294,450,530,929,1457,4852,3265,8122,39226,42988,82209,6456,6888,13345,26505,29284,55790,17308,18658,35967
LGA21010,5938,6410,12347,2252,1246,3489,700,1534,2234,237,292,536,130,86,219,3322,3153,6482,2115,2733,4846,4,2.8,3.4,56,49.2,52.5,53.8,47.8,50.7,127,173,306,86,192,279,397,744,1141,449,711,1157,1615,875,2492,58,117,179,90,96,188,1766,1091,2855,5565,5954,11521,723,779,1505,3794,4006,7795,2218,2423,4641
LGA21110,65753,73111,138866,30252,20947,51194,11047,19081,30127,2033,2684,4718,2092,1820,3920,45424,44534,89959,18445,26397,44844,4.6,4.1,4.4,69.1,60.9,64.8,65.9,58.4,62,10719,10283,21002,2374,4129,6507,21260,23786,45041,5175,7083,12253,4768,2644,7414,271,397,669,653,1105,1757,5692,4147,9838,64665,70581,135243,11953,12595,24548,42913,47282,90198,30864,33071,63933
LGA21180,79795,80610,160404,30537,17419,47955,11579,17110,28687,2942,3220,6162,3788,3303,7087,48840,41060,89895,25441,34526,59973,7.7,8,7.9,61.2,50.9,56,56.5,46.8,51.6,3444,3234,6675,747,1623,2375,10364,12285,22653,6026,7168,13191,12651,6750,19405,653,932,1588,1078,1424,2500,14381,9107,23489,80630,81383,162010,9674,9107,18779,57716,59607,117323,27862,26492,54354
LGA21270,2727,2560,5284,1117,458,1576,282,654,933,85,87,170,58,36,93,1539,1232,2771,923,1091,2018,3.6,2.9,3.3,56.4,48.3,52.5,54.4,46.9,50.7,29,49,78,18,58,77,152,317,467,122,242,366,693,318,1010,15,38,52,33,28,61,736,385,1117,2589,2436,5026,270,277,549,1955,1807,3763,796,802,1598
LGA21370,15610,16267,31875,6501,3361,9864,1770,4337,6103,623,775,1400,360,286,639,9250,8762,18010,5196,6354,11546,3.9,3.3,3.6,59.3,53.9,56.5,57,52.1,54.5,186,318,505,157,379,531,948,1861,2809,891,1619,2513,4402,2299,6691,130,238,371,165,271,437,4695,2806,7500,15149,15591,30741,2208,2306,4517,10712,10836,21542,5775,6267,12042
LGA21450,44051,46445,90494,23370,12226,35595,5705,13176,18881,1624,2374,3997,1273,1362,2635,31972,29137,61110,9875,14967,24848,4,4.7,4.3,72.6,62.7,67.5,69.7,59.8,64.6,1761,2099,3859,509,1430,1934,4560,7092,11651,4042,5955,10003,12382,6750,19131,379,708,1084,558,932,1490,13321,8383,21702,46176,47575,93751,7920,8237,16152,26182,26774,52958,24128,25364,49492
LGA21610,138434,142254,280686,68755,37182,105935,19867,36387,56256,4914,5969,10882,5382,5055,10431,98920,84592,183508,32887,51011,83896,5.4,6,5.7,71.5,59.5,65.4,67.6,55.9,61.7,7375,7785,15160,1544,3499,5041,17967,23527,41492,14205,17231,31436,29104,16385,45488,1212,1826,3045,1814,2730,4540,32131,20937,53075,148033,149651,297687,22584,22680,45258,87578,88951,176529,71277,72389,143666
LGA21670,5568,5837,11403,1539,873,2413,599,1270,1863,191,211,400,177,113,289,2502,2465,4962,2619,2951,5575,7,4.6,5.8,44.9,42.2,43.5,41.8,40.3,41,59,83,141,46,112,157,268,499,771,248,517,767,1523,807,2329,60,116,176,68,92,159,1651,1011,2667,5328,5513,10840,634,696,1328,3909,3930,7836,1835,2079,3906
LGA21750,9243,9410,18657,3897,2009,5910,1312,2684,4000,398,479,876,188,122,316,5799,5300,11100,2814,3534,6354,3.3,2.4,2.8,62.7,56.3,59.5,60.7,55,57.8,216,309,530,104,276,376,728,1245,1973,621,982,1611,2416,1378,3794,89,125,213,115,154,270,2617,1660,4283,9001,9083,18078,1262,1273,2531,6181,6196,12369,3593,3696,7287
LGA21830,6613,6613,13230,2969,1417,4388,798,1798,2595,266,294,565,103,108,205,4141,3614,7746,1987,2549,4534,2.4,2.9,2.7,62.6,54.6,58.6,61,53,57,87,153,238,73,164,237,429,849,1277,384,676,1055,1738,867,2606,61,104,159,81,80,163,1875,1055,2926,6482,6454,12931,803,794,1600,4680,4637,9315,2248,2303,4556
LGA21890,60228,64808,125038,26724,19568,46293,10104,16880,26986,2234,2857,5086,2436,1967,4402,41502,41265,82766,15687,20586,36275,5.9,4.8,5.3,68.9,63.7,66.2,64.9,60.6,62.7,6156,7678,13832,1748,3499,5247,13845,16383,30231,5052,5977,11033,7942,4165,12110,381,507,893,656,883,1539,8983,5551,14540,56363,59617,115978,11286,12133,23416,36635,39598,76235,27653,28934,56583
LGA22110,20030,21012,41045,6380,3561,9934,2569,5182,7752,756,860,1620,529,359,884,10231,9961,20190,8216,9425,17638,5.2,3.6,4.4,51.1,47.4,49.2,48.5,45.7,47,391,565,956,281,635,913,1437,2486,3922,1538,2349,3889,5610,2835,8449,182,350,524,332,371,702,6126,3556,9681,18676,19304,37987,2913,3104,6013,12590,12853,25442,8031,8610,16633
LGA22170,54441,58323,112767,26003,14730,40728,6973,15849,22820,1851,2899,4753,1812,1516,3322,36637,34989,71627,14704,20152,34853,4.9,4.3,4.6,67.3,60,63.5,64,57.4,60.6,1575,2219,3794,763,1920,2683,5666,8912,14576,4961,7641,12609,15056,8015,23072,468,861,1333,773,1229,2002,16298,10101,26404,55342,57899,113242,7861,8604,16465,36552,38009,74560,23052,24945,47995
LGA22250,4414,4474,8893,1765,835,2602,429,1068,1497,138,136,275,98,66,164,2420,2112,4534,1619,2001,3626,4,3.1,3.6,54.9,47.1,51,52.6,45.7,49.1,40,78,112,30,89,120,201,399,602,210,383,598,1175,624,1799,34,70,103,43,54,103,1250,756,2003,4191,4231,8416,534,587,1128,3074,3050,6126,1441,1543,2993
LGA22310,58214,63287,121501,28455,19359,47809,9525,17215,26736,1856,2607,4466,1899,1596,3497,41736,40777,82516,14475,20205,34681,4.5,3.9,4.2,71.7,64.4,67.9,68.4,61.9,65,7594,7973,15567,1757,3205,4962,16682,19208,35888,5141,6601,11748,6429,3418,9848,266,430,698,694,1106,1799,7390,4953,12343,56797,60329,117126,11820,12346,24169,35874,38964,74833,29414,30560,59976
LGA22410,8395,8440,16836,3310,1650,4958,1008,2197,3203,349,357,708,231,181,412,4894,4383,9278,2905,3554,6455,4.7,4.1,4.4,58.3,51.9,55.1,55.6,49.8,52.7,111,166,278,74,227,304,494,870,1363,446,862,1303,2331,1304,3639,70,156,224,120,149,273,2525,1606,4134,8034,8027,16062,1099,1166,2263,5628,5494,11123,3106,3330,6430
LGA22490,9668,9501,19164,4811,2250,7055,1202,3035,4237,408,524,935,204,193,390,6616,6003,12615,2573,3063,5644,3,3.2,3.1,68.5,63.2,65.8,66.4,61.2,63.8,203,301,502,157,391,547,749,1406,2157,781,1224,2007,3250,1532,4784,86,175,260,130,160,296,3465,1869,5335,10574,10214,20793,1165,1177,2342,7391,6964,14355,3714,3815,7536
LGA22620,46803,51245,98052,20030,11502,31526,6488,14275,20763,1611,2331,3947,1387,1072,2461,29517,29178,58699,14565,19306,33868,4.7,3.7,4.2,63.1,56.9,59.9,60.1,54.8,57.4,1528,1990,3521,923,2038,2960,4957,8001,12959,3626,5296,8919,12430,7110,19540,457,842,1301,581,865,1448,13472,8816,22285,46702,49493,96196,7664,8529,16189,30024,31380,61397,21277,23654,44934
LGA22670,66232,64530,130766,25813,14346,40158,10084,13254,23342,2098,2071,4168,2979,2378,5356,40972,32051,73016,20897,28684,49584,7.3,7.4,7.3,61.9,49.7,55.8,57.4,46,51.7,3623,3452,7074,634,1166,1792,8971,9747,18720,5500,5826,11324,8862,4845,13702,531,639,1169,833,1044,1877,10221,6528,16752,64824,63873,128700,9976,9211,19189,41505,42285,83795,29044,26772,55818
LGA22750,105968,114739,220708,45758,26025,71786,15600,32785,48382,3710,5301,9011,3298,2692,5986,68362,66806,135171,32465,42542,75012,4.8,4,4.4,64.5,58.2,61.2,61.4,55.9,58.5,5640,5884,11522,2037,4521,6556,14812,20875,35682,9412,13261,22672,25548,14576,40124,890,1432,2324,1266,1940,3206,27700,17951,45654,102177,108703,210880,19406,21234,40638,62849,67179,130029,51994,56423,108426
LGA22830,26918,27843,54759,11399,6523,17918,3191,6994,10189,895,1125,2024,850,600,1448,16341,15237,31580,8373,10581,18951,5.2,3.9,4.6,60.7,54.7,57.7,57.5,52.6,55,688,851,1540,350,837,1187,2005,3494,5499,1755,2940,4698,6261,3481,9745,250,411,658,294,445,740,6801,4340,11142,26587,26857,53448,3956,4410,8364,17419,17427,34847,11331,12259,23585
LGA22910,6857,7238,14093,2356,1277,3639,1109,1870,2976,246,322,571,167,130,303,3880,3605,7481,2441,3056,5495,4.4,3.6,4,56.6,49.8,53.1,54.1,48,51,400,455,862,176,344,526,873,1296,2166,629,881,1505,1592,802,2389,56,89,152,95,125,222,1747,1017,2761,6544,6799,13340,826,848,1672,4506,4728,9238,2571,2652,5228
LGA22980,2423,2377,4797,1026,445,1480,221,561,780,56,89,150,56,42,90,1364,1137,2498,904,1086,1985,4,3.4,3.7,56.4,47.8,52.1,54.2,46.1,50.2,35,51,81,20,60,71,131,283,416,115,229,348,587,312,900,30,38,72,38,39,80,656,389,1046,2334,2327,4663,296,282,580,1728,1675,3404,765,793,1558
LGA23110,35721,38003,73725,17024,11113,28137,4767,8951,13722,1235,1690,2923,1327,1119,2447,24354,22868,47223,9599,13421,23022,5.5,4.9,5.2,68.2,60.2,64.1,64.5,57.2,60.7,2687,3025,5713,815,1739,2546,6698,8459,15156,3179,3875,7053,6740,2951,9693,234,344,580,465,640,1101,7434,3940,11369,35844,37550,73400,5881,6120,12006,24296,25675,49973,14939,15759,30699
LGA23190,8045,8569,16617,3785,2016,5800,1023,2431,3453,280,357,638,189,135,320,5272,4945,10213,2327,3168,5493,3.5,2.8,3.2,65.5,57.6,61.4,63.2,56.1,59.5,193,243,431,91,287,378,587,1124,1711,578,966,1544,2239,1241,3476,74,146,220,91,136,231,2407,1523,3931,8099,8380,16478,1179,1315,2499,5520,5617,11142,3278,3526,6800
LGA23270,93608,95191,188794,39473,21264,60738,13475,21051,34528,3530,3927,7457,4459,3920,8379,60938,50163,111100,27183,39936,67122,7.3,7.8,7.5,65.1,52.7,58.8,60.3,48.6,54.4,4604,4768,9374,969,2405,3382,11101,14406,25508,8604,10240,18840,17342,9845,27183,847,1140,1988,1225,1758,2982,19413,12748,32156,97796,98369,196165,15841,15775,31614,59097,60114,119217,46515,46601,93115
LGA23350,6821,7195,14020,2910,1728,4639,898,2047,2948,277,406,682,109,106,210,4190,4289,8480,2247,2522,4764,2.5,2.4,2.5,61.4,59.6,60.5,59.8,58.2,59,227,340,565,138,383,524,739,1258,1997,564,885,1450,1983,967,2948,63,106,173,104,123,223,2151,1193,3341,6745,7068,13812,916,1058,1980,4734,5009,9741,2546,2760,5300
LGA23430,62171,67623,129790,30147,18943,49084,8789,18116,26903,2059,2839,4899,1979,1665,3645,42972,41561,84535,16890,23681,40569,4.6,4,4.3,69.1,61.5,65.1,65.9,59,62.3,4399,5148,9548,1312,2651,3957,11889,15028,26917,6242,7946,14191,12045,5638,17683,391,693,1080,882,1392,2277,13313,7725,21039,63492,67829,131319,9162,9589,18755,43377,46724,90098,25655,27187,52844
LGA23670,63472,67793,131267,30909,18201,49108,9068,18390,27458,1976,2789,4764,2010,1775,3783,43961,41154,85113,17458,24384,41839,4.6,4.3,4.4,69.3,60.7,64.8,66.1,58.1,62,4318,4424,8748,1106,2267,3380,11086,13581,24664,6153,8170,14323,13977,6837,20812,496,739,1232,823,1332,2161,15294,8906,24198,66571,69450,136018,7699,8109,15804,47079,49299,96387,23664,24742,48403
LGA23810,30681,32800,63484,11753,6316,18067,3414,8249,11662,1047,1411,2455,1353,911,2267,17564,16879,34447,10611,13290,23906,7.7,5.4,6.6,57.3,51.5,54.3,52.8,48.7,50.7,579,821,1393,297,786,1079,2061,3418,5483,1900,3118,5020,9522,4971,14491,294,541,832,321,502,820,10138,6012,16153,29889,31078,60966,4259,4646,8901,20549,20915,41461,11769,12988,24755
LGA23940,3321,3229,6552,1176,564,1742,341,713,1056,112,152,259,85,74,158,1710,1495,3211,1225,1347,2570,4.9,4.7,4.8,51.5,46.4,49,49,44.3,46.7,36,50,85,21,91,108,161,358,518,172,308,482,848,360,1211,21,55,78,45,65,110,918,477,1401,3091,3009,6101,310,333,645,2372,2220,4587,893,984,1883
LGA24130,19811,20804,40616,9301,5068,14372,2730,6157,8881,798,1040,1834,450,391,841,13283,12650,25936,5547,7140,12686,3.4,3.1,3.2,67,60.8,63.9,64.8,58.9,61.8,1046,1325,2373,515,1119,1635,2827,4075,6902,1890,2494,4379,5141,2162,7302,134,243,380,279,395,674,5558,2798,8357,20913,21478,42387,2637,2809,5446,14209,14650,28855,8125,8469,16595
LGA24210,49505,54071,103572,20870,12699,33575,7689,13598,21287,1558,1918,3479,1724,1488,3212,31844,29700,61545,16227,22725,38957,5.4,5,5.2,64.3,54.9,59.4,60.8,52.2,56.3,5475,5127,10607,1210,2002,3206,12209,13686,25891,4689,5863,10549,6427,3040,9466,240,415,650,609,1120,1723,7275,4572,11847,50748,54171,104919,7043,7490,14533,34988,37594,72581,20386,21647,42031
LGA24250,4166,4340,8514,1511,908,2421,643,1207,1852,194,219,423,60,39,97,2412,2376,4782,1411,1629,3042,2.4,1.6,2,57.8,54.7,56.2,56.4,53.8,55.1,115,176,293,65,175,244,423,659,1085,318,566,877,1283,483,1768,33,64,97,66,83,147,1388,624,2012,3825,3886,7708,773,932,1704,2472,2481,4954,1969,2161,4128
LGA24330,35545,35818,71364,16833,12224,29061,5924,8669,14590,1340,1725,3068,1554,1297,2849,25646,23915,49567,7782,10030,17811,6.1,5.4,5.7,72.2,66.8,69.5,67.8,63.2,65.5,3934,4120,8055,926,1767,2695,8726,9569,18291,3067,3271,6341,4204,2380,6584,268,280,545,416,502,922,4890,3157,8048,31940,31942,63880,7726,7732,15464,19259,19963,39222,18327,17774,36099
LGA24410,44398,48602,93002,22167,12990,35159,6183,13766,19949,1373,2119,3491,1313,1174,2484,31035,30047,61082,11838,16827,28663,4.2,3.9,4.1,69.9,61.8,65.7,67,59.4,63,3101,3436,6537,1106,2163,3265,7820,10357,18181,4470,5882,10352,9607,4781,14387,321,505,824,666,999,1662,10589,6288,16877,46796,49823,96618,6054,6448,12507,31870,33892,65759,18088,19624,37711
LGA24600,71357,71459,142820,30168,23180,53352,13681,17656,31340,2969,3404,6370,3803,3778,7582,50623,48020,98646,14354,17586,31935,7.5,7.9,7.7,70.9,67.2,69.1,65.6,61.9,63.8,12464,13374,25837,1680,2514,4188,22392,23189,45584,5828,5999,11833,4383,2875,7258,368,349,715,520,685,1202,5272,3907,9182,40191,40154,80348,29136,29686,58820,16724,17149,33879,50636,50909,101544
LGA24650,66959,67934,134896,32019,18002,50019,8970,16503,25473,2555,3248,5808,2822,2833,5661,46372,40583,86956,17059,23836,40895,6.1,7,6.5,69.2,59.7,64.5,65,55.6,60.3,3121,3509,6629,730,1805,2529,8504,11599,20106,6044,7400,13445,13712,7939,21651,579,859,1437,951,1352,2308,15252,10154,25399,69645,70917,140565,11890,12492,24384,41394,42111,83506,34001,35473,69474
LGA24780,22709,23786,46492,9335,5623,14953,2713,5626,8335,880,1062,1945,790,587,1378,13714,12903,26615,7056,8999,16054,5.8,4.6,5.2,60.4,54.2,57.2,56.9,51.8,54.3,410,509,920,242,594,830,1494,2780,4276,1379,2277,3661,5480,3242,8716,246,416,660,261,357,620,5982,4016,9999,21861,22752,44618,3506,3592,7101,14400,14712,29107,9540,10214,19753
LGA24850,19648,19409,39061,9661,4856,14516,2297,5055,7355,770,971,1740,562,547,1111,13294,11428,24720,5088,6858,11948,4.2,4.8,4.5,67.6,58.9,63.3,64.8,56.1,60.4,479,644,1122,200,559,766,1391,2402,3800,1512,2349,3855,5692,2834,8524,197,325,526,244,381,622,6135,3534,9672,19819,19495,39313,3270,3110,6381,11957,11674,23631,9645,9575,19222
LGA24900,12510,12710,25224,4908,2448,7355,1296,3195,4493,479,549,1029,274,205,476,6952,6398,13353,4518,5370,9880,3.9,3.2,3.6,55.6,50.3,52.9,53.4,48.7,51.1,120,207,328,89,302,394,638,1299,1939,727,1256,1990,3367,1746,5116,111,213,329,174,195,369,3654,2159,5808,11828,11966,23790,1828,1879,3705,8078,8097,16182,4945,5167,10110
LGA24970,79577,81172,160748,33067,21018,54081,13175,19357,32531,2488,3008,5498,3092,2598,5690,51816,45978,97794,23939,31641,55575,6,5.6,5.8,65.1,56.6,60.8,61.2,53.4,57.3,11354,9790,21142,1787,2879,4665,19504,20858,40361,7173,8069,15246,8568,4270,12834,362,566,931,869,1415,2287,9802,6254,16052,73860,75860,149716,16439,15240,31685,47640,50845,98481,38790,36699,75490
LGA25060,48607,52505,101113,23433,15945,39379,7102,13301,20399,1718,2351,4071,1723,1346,3073,33974,32939,66918,12726,17624,30352,5.1,4.1,4.6,69.9,62.7,66.2,66.4,60.2,63.1,4318,4752,9073,1344,2517,3862,11008,13085,24092,4381,5175,9552,7693,3447,11141,283,442,725,596,994,1595,8569,4882,13454,47647,50545,98193,8197,8636,16829,31977,34315,66293,21289,22399,43691
LGA25150,14492,15161,29653,7127,3938,11063,1778,4038,5816,596,755,1353,370,349,722,9874,9086,18953,3890,5336,9220,3.8,3.8,3.8,68.1,59.9,63.9,65.6,57.6,61.5,433,635,1073,193,576,770,1280,2180,3458,1189,1847,3038,4326,2143,6467,122,216,341,184,272,455,4631,2634,7269,15066,15372,30435,2191,2314,4509,9791,9784,19573,6498,6957,13457
LGA25250,69392,73964,143356,32180,23384,55559,11977,18672,30649,2511,3396,5909,2742,2129,4872,49405,47582,96992,16604,23166,39771,5.5,4.5,5,71.2,64.3,67.7,67.3,61.4,64.3,7863,9369,17229,1907,3823,5724,16382,19294,35676,5940,6696,12636,9374,4574,13950,367,551,921,788,1038,1831,10532,6166,16699,63771,67054,130829,14406,15310,29716,39415,42673,82087,34734,35879,70615
LGA25340,66592,73324,139921,26942,14198,41138,9491,19576,29064,2559,3630,6187,1409,1239,2645,40395,38642,79035,22586,30503,53084,3.5,3.2,3.3,60.7,52.7,56.5,58.5,51,54.6,2644,3087,5724,1249,2677,3920,8777,12393,21162,6335,9330,15668,17464,8132,25598,490,944,1434,970,1616,2588,18929,10692,29621,66110,71038,137141,9653,10238,19891,43925,47274,91203,28236,30614,58846
LGA25430,8542,8783,17327,2564,1492,4062,1392,2452,3849,304,353,661,172,154,328,4439,4457,8897,3535,3645,7176,3.9,3.5,3.7,51.9,50.7,51.3,49.9,49,49.4,537,762,1294,254,554,813,1192,1682,2874,730,1011,1739,1771,797,2568,73,98,169,115,128,246,1961,1026,2988,7698,8083,15774,1036,1135,2166,5305,5507,10814,3070,3404,6472
LGA25490,6786,7080,13867,3208,1612,4814,896,2068,2956,328,406,730,100,99,205,4533,4178,8708,1806,2458,4263,2.3,2.4,2.3,66.8,59,62.8,65.3,57.6,61.4,160,277,436,87,243,332,642,1121,1756,494,861,1358,1815,946,2755,69,128,191,76,116,193,1958,1184,3144,6989,7124,14111,808,913,1717,4996,4949,9945,2417,2673,5090
LGA25620,6582,6343,12919,2463,1206,3673,853,1629,2482,297,356,655,135,120,250,3756,3310,7064,2253,2502,4753,3.6,3.5,3.6,57.1,52.1,54.7,55,50.3,52.7,156,197,352,106,210,316,501,863,1368,494,838,1328,2022,843,2869,39,94,140,85,121,201,2151,1060,3211,6234,5955,12185,752,732,1483,4361,4124,8484,2336,2315,4646
LGA25710,24678,25686,50367,12626,6641,19266,3645,8395,12039,910,1231,2142,624,595,1217,17800,16861,34664,6250,8176,14424,3.5,3.5,3.5,72.1,65.6,68.8,69.6,63.3,66.4,1754,1946,3703,688,1416,2099,4422,6015,10433,2529,3113,5646,6071,2243,8309,158,277,435,382,546,932,6610,3065,9670,27228,27908,55139,2314,2439,4754,20580,20971,41549,7575,7961,15534
LGA25810,5047,5121,10166,1909,1043,2952,641,1227,1869,202,236,434,113,93,204,2866,2595,5458,1701,2067,3767,3.9,3.6,3.8,56.7,50.7,53.7,54.5,48.9,51.7,95,97,190,47,126,172,337,579,916,293,520,815,1296,703,1998,58,78,138,60,79,144,1414,865,2283,4751,4786,9529,598,596,1199,3447,3406,6857,1659,1711,3367
LGA25900,43538,45635,89171,21991,18152,40144,6596,10169,16766,1455,1964,3420,1533,1288,2815,31580,31571,63153,8645,11028,19673,4.8,4.1,4.5,72.5,69.2,70.8,69,66.4,67.7,5777,6641,12423,1314,2407,3724,12603,14548,27149,4022,4813,8835,4591,2533,7115,233,301,535,516,727,1244,5342,3559,8897,34168,35580,69754,11287,12071,23356,18815,19977,38794,24901,25969,50871
